id,team,jersey_number,time,x_pos,y_pos
1,0,1.0,2,20,252
1,0,1.0,3,20,252
1,0,1.0,4,20,252
1,0,1.0,5,17,250
1,0,1.0,6,16,248
1,0,1.0,7,16,248
1,0,1.0,8,16,248
1,0,1.0,9,16,248
1,0,1.0,10,16,248
1,0,1.0,11,16,248
1,0,1.0,12,16,248
1,0,1.0,13,17,250
1,0,1.0,14,19,252
1,0,1.0,15,20,252
1,0,1.0,16,19,252
1,0,1.0,17,18,252
1,0,1.0,18,18,252
1,0,1.0,19,17,250
1,0,1.0,20,15,248
1,0,1.0,21,17,250
1,0,1.0,22,18,252
1,0,1.0,23,18,252
1,0,1.0,24,17,250
1,0,1.0,25,16,248
1,0,1.0,26,16,248
1,0,1.0,27,16,248
1,0,1.0,28,16,248
1,0,1.0,29,17,250
1,0,1.0,30,15,248
1,0,1.0,31,15,248
1,0,1.0,32,15,248
1,0,1.0,33,15,248
1,0,1.0,34,15,248
1,0,1.0,35,15,248
1,0,1.0,36,17,250
1,0,1.0,37,18,252
1,0,1.0,38,18,252
1,0,1.0,39,18,252
1,0,1.0,40,18,252
1,0,1.0,41,17,250
1,0,1.0,42,20,252
1,0,1.0,43,20,252
1,0,1.0,44,19,252
1,0,1.0,45,18,250
1,0,1.0,46,20,252
1,0,1.0,47,20,252
1,0,1.0,48,20,252
1,0,1.0,49,20,252
1,0,1.0,50,20,252
1,0,1.0,51,20,252
1,0,1.0,52,19,252
1,0,1.0,53,18,250
1,0,1.0,54,20,252
1,0,1.0,55,20,252
1,0,1.0,56,20,252
1,0,1.0,57,20,252
1,0,1.0,58,20,252
1,0,1.0,59,20,252
1,0,1.0,60,20,252
1,0,1.0,61,20,252
1,0,1.0,62,20,252
1,0,1.0,63,20,252
1,0,1.0,64,20,252
1,0,1.0,65,20,252
1,0,1.0,66,20,252
1,0,1.0,67,20,252
1,0,1.0,68,20,252
1,0,1.0,69,20,252
1,0,1.0,70,20,252
1,0,1.0,71,20,252
1,0,1.0,72,20,252
1,0,1.0,73,20,252
1,0,1.0,74,20,252
1,0,1.0,75,20,252
1,0,1.0,76,20,252
1,0,1.0,77,20,252
1,0,1.0,78,20,252
1,0,1.0,79,20,252
1,0,1.0,80,20,252
1,0,1.0,81,20,252
1,0,1.0,82,20,252
1,0,1.0,83,20,252
1,0,1.0,84,20,252
1,0,1.0,85,20,252
1,0,1.0,86,20,252
1,0,1.0,87,20,252
1,0,1.0,88,20,252
1,0,1.0,89,20,252
1,0,1.0,90,20,252
1,0,1.0,91,20,252
1,0,1.0,92,20,252
1,0,1.0,93,20,252
1,0,1.0,94,20,252
1,0,1.0,95,20,252
1,0,1.0,96,20,252
1,0,1.0,97,20,252
1,0,1.0,98,20,252
1,0,1.0,99,20,252
1,0,1.0,100,20,252
1,0,1.0,101,20,252
1,0,1.0,102,20,252
1,0,1.0,103,20,252
1,0,1.0,104,20,252
1,0,1.0,105,20,252
1,0,1.0,106,20,252
1,0,1.0,107,20,252
1,0,1.0,108,20,252
1,0,1.0,109,20,252
1,0,1.0,110,20,252
1,0,1.0,111,20,252
1,0,1.0,112,20,252
1,0,1.0,113,20,252
1,0,1.0,114,20,252
1,0,1.0,115,20,252
1,0,1.0,116,20,252
1,0,1.0,117,20,252
